Molecule,SMILES
GalOPEtn,O[C@H]1C(O[C@@H]([C@@H]([C@@H]1O)O)COP(OCCN)(O)=O)O
D-FucOMe,C[C@@H]1[C@H](O)[C@H](OC)[C@@H](O)C(O)O1
GlcNAcA,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1NC(C)=O
ManOS,OC1O[C@H](COS(=O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
Sor,OCC1(O)[C@@H](O)[C@H](O)[C@@H](O)CO1
"2,5-Anhydro-ManOS",O=C[C@@H]1O[C@@H](CO)[C@H](O)[C@H]1OS(=O)(O)=O
"3,6-Anhydro-L-Gal",O=C[C@@H](O)[C@H]1[C@H](O)[C@@H](O)CO1
GalNAcOPyr,OC1O[C@H]2[C@@H]([C@@H]([C@H]1NC(C)=O)O)OC(C(C)=O)OC2
ManN,N[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1O
FrufI,OCC(O1)(O)[C@@H](O)[C@H](O)[C@H]1CI
GlcOCoum,OC(O1)[C@H](OC(/C=C/C2=CC=C(O)C=C2)=O)[C@@H](O)[C@H](O)[C@H]1CO
IdoN,OC(O1)[C@H](N)[C@@H](O)[C@H](O)[C@@H]1CO
IdoOS,OC(O1)[C@H](OS(=O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1CO
GalOPGro,O[C@H]1C(O[C@@H]([C@@H]([C@@H]1O)O)COP(O)(OCC(CO)O)=O)O
QuiOMeN,C[C@@H]1[C@@H](N)[C@H](O)[C@@H](OC)C(O)O1
FrufF,OCC(O1)(O)[C@@H](O)[C@H](O)[C@H]1CF
GlcAOLac,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OC(C(O)C)=O
GalOMeF,OC(O1)[C@H](OC)[C@@H](O)[C@@H](F)[C@H]1CO
GlcNAcANAla,OC1O[C@@H]([C@H]([C@@H]([C@H]1NC(C)=O)N)OC([C@@H](N)C)=O)C(O)=O
NeuNAcOGc,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(C)=O)[C@@H](OC(CO)=O)C1
6dTalOAcOMe,C[C@H]1[C@@H](O)[C@@H](OC)[C@@H](OC(C)=O)C(O)O1
6dTalOMe,C[C@H]1[C@@H](O)[C@@H](OC)[C@@H](O)C(O)O1
aldehyde-Hex,OCC(O)C(O)C(O)C(O)C=O
GlcAN,N[C@H]1C(O)O[C@H](C(O)=O)[C@@H](O)[C@@H]1O
GlcGro,OC(O1)[C@H](OCC(O)CO)[C@@H](O)[C@H](O)[C@H]1CO
L-Oli,C[C@H]1[C@H](O)[C@@H](O)CC(O)O1
RhaOBut,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OC(CCC)=O)C(O)O1
IdoNAc,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@@H]1CO
GalA-ol,OC[C@@H]([C@H]([C@H]([C@@H](C(O)=O)O)O)O)O
GalANCysAc,OC(O1)[C@H](N)[C@@H](O)[C@@H](OC([C@@H](NC(C)=O)CS)=O)[C@H]1C(O)=O
GalAN,N[C@H]1C(O)O[C@H](C(O)=O)[C@H](O)[C@@H]1O
D-Ido,OC(O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1CO
GlcOSNMeOCm,OC(O1)[C@H](NC)[C@@H](O)[C@H](OC(N)=O)[C@H]1COS(O)(=O)=O
FucOMeOPam,C[C@H]1[C@@H](OC(CCCCCCCCCCCCCCC)=O)[C@@H](O)[C@H](OC)C(O)O1
